,Datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_4
0,2006-12-17 00:00:00,112.94800000000001,6.145999999999999,14457.71,487.6,0.0,28.0,0.0,1854.4666704
1,2006-12-17 01:00:00,200.964,8.216,14426.9,854.8,0.0,1514.0,0.0,1835.4000141000001
2,2006-12-17 02:00:00,95.236,4.693999999999999,14749.12,412.2,0.0,34.0,0.0,1553.266668
3,2006-12-17 03:00:00,99.732,4.771999999999999,14670.81,432.40000000000003,0.0,46.0,0.0,1616.2000033
4,2006-12-17 04:00:00,132.946,5.608,14631.33,560.0,0.0,34.0,533.0,1648.7666636000001
5,2006-12-17 05:00:00,119.804,3.6139999999999994,14622.61,514.0,0.0,10.0,279.0,1707.7333329
6,2006-12-17 06:00:00,78.19800000000001,5.6899999999999995,14648.49,331.8,0.0,43.0,0.0,1260.3000057
7,2006-12-17 07:00:00,97.202,3.5879999999999996,14510.74,408.2,0.0,10.0,0.0,1610.0333413
8,2006-12-17 08:00:00,113.434,7.113999999999999,14478.69,483.0,0.0,45.0,0.0,1845.5666647
9,2006-12-17 09:00:00,152.944,4.754,14330.869999999999,658.4,0.0,439.0,0.0,2110.0666748
10,2006-12-17 10:00:00,217.734,11.676,14126.46,932.0,533.0,1341.0,969.0,785.9000115
11,2006-12-17 11:00:00,148.26,12.042,14215.48,629.6,567.0,301.0,1031.0,572.0000115
12,2006-12-17 12:00:00,114.952,17.642,14267.08,488.2,0.0,32.0,1039.0,844.866673
13,2006-12-17 13:00:00,99.646,10.292,14395.24,415.4,0.0,3.0,1057.0,600.7666598
14,2006-12-17 14:00:00,125.558,15.443999999999999,14642.74,516.0,0.0,20.0,1094.0,978.633327
15,2006-12-17 15:00:00,179.124,5.315999999999999,14428.85,745.6,418.0,12.0,1062.0,1493.400009
16,2006-12-17 16:00:00,199.562,5.587999999999999,14206.91,840.4,515.0,4.0,1030.0,1777.033322
17,2006-12-17 17:00:00,204.406,9.998,14053.79,870.6,0.0,28.0,1009.0,2369.766666
18,2006-12-17 18:00:00,221.826,8.104,14062.34,945.0,0.0,0.0,1010.0,2687.100014
19,2006-12-17 19:00:00,174.504,15.91,13991.74,751.0,0.0,31.0,1001.0,1876.399997
20,2006-12-17 20:00:00,201.69,16.29,14185.59,856.6,0.0,67.0,1027.0,2267.499981
21,2006-12-17 21:00:00,182.446,16.078,14346.25,763.0,0.0,72.0,1050.0,1918.766682
22,2006-12-17 22:00:00,91.08,14.122,14531.539999999999,383.0,0.0,25.0,150.0,1343.000006
23,2006-12-17 23:00:00,26.264,13.308,14744.04,119.8,0.0,48.0,0.0,389.7333334
24,2006-12-18 00:00:00,16.581999999999997,5.944,14676.45,73.4,0.0,2.0,0.0,274.3666656
25,2006-12-18 01:00:00,18.798,9.113999999999999,14611.16,85.0,0.0,35.0,0.0,278.2999982
26,2006-12-18 02:00:00,17.068,6.544,14813.460000000001,75.39999999999999,0.0,0.0,0.0,284.4666622
